"automatic_water_benchmarking_eligible","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","community_council","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identificaiton_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No","2-02488-0031","2003001","Bronx","197",,"4","16","407","Filed","1","60269","Not Available","55.2","40.834849","-73.920638","Not Available","West Concourse                                                             ","2024880031","Multifamily Housing","5564","2003001","60259","None","103.1","128.4","GERARD AVENUE","1183","462.2","Not Available","Not Available","10452"
"N/A","2-02512-0069",,"Bronx",,,,,"423.5","Not on Covered Buildings List",,,"Not Available","90.6",,,"Not Available",,"2025120069","Multifamily Housing","15424","2003232","72000","None","95.5","129.6",,,"514.1","Not Available","Not Available",
"No","2025820034","2003971","Bronx","31",,"1","8","347","Filed","1","75924","Not Available","38.2","40.812191","-73.90649","Not Available","Mott Haven-Port Morris                                                     ","2025820034","Multifamily Housing","5658","2003971","75914","None","66.8","80.7","TINTON AVENUE","526","385.2","66.8","80.7","10455"
"Yes","2-02810-0001","2007721","Bronx","23502",,"5","15","418.2","Filed","1","56000","Not Available","107.8","40.850106","-73.90546","27.99","Mount Hope                                                                 ","2028100001","Multifamily Housing","5816","2007721","56000","None","162.6","220","GRAND CONCOURSE","1930","526","Not Available","Not Available","10457"
"No","2-02870-0016","2008629","Bronx","243",,"5","14","241.3","Filed","1","50400","Not Available","83.9","40.853294","-73.910025","Not Available","University Heights-Morris Heights                                          ","2028700016","Multifamily Housing","5947","2008629","61871","None","110.7","158.9","GRAND AVENUE","2010","325.2","110.2","158.3","10453"
"No","2029910034",,"Bronx",,,,,"2340.8","Filed","1","58962","1","480.6",,,"Not Available",,"2029910034","Hospital (General Medical & Surgical)","6080","2010685","68952","None","718.6","932.9","HOE AVENUE","1788","2821.4","718.6","932.9","10460"
"Yes","2032160048","2014696","Bronx","24502",,"5","14","292.5","Filed","1","78000","Not Available","83.6","40.855322","-73.910742","Not Available","University Heights-Morris Heights                                          ","2032160048","Multifamily Housing","6275","2014696","77990","None","65","94","DR M L KING JR BLVD","2015","376.1","65","93.9","10453"
"Yes","2032590022","2015867","Bronx","273",,"8","14","622.2","Filed","1","86412","Not Available","109.5","40.874221","-73.904967","Not Available","Van Cortlandt Village                                                      ","2032590022","Multifamily Housing","6398","2015867","86402","None","113.4","148","BAILEY AVENUE","2840","731.7","113.4","148","10463"
"No","2033350060","2017998","Bronx","419",,"7","11",,"Filed","1","174705","Not Available","156","40.874538","-73.880364","Not Available","Norwood                                                                    ","2033350060","Multifamily Housing","6597","2017998","174705","None",,,"ROCHAMBEAU AVENUE","3150",,"Not Available","Not Available","10467"
"Yes","2048940011","2065676","Bronx","460",,"12","12","659.2","Filed","1","80844","100","393.2","40.881703","-73.838998","117.05","Eastchester-Edenwald-Baychester                                            ","2048940011","Hospital (General Medical & Surgical)","7084","2065676","80844","ABS","171.4","300.7","BAYCHESTER AVENUE","3525","1052.4","Not Available","Not Available","10466"
"No","2059030283","2085775","Bronx","30701",,"8","11","661.1","Filed","1","134000","Not Available","200.5","40.887354","-73.912142","Not Available","North Riverdale-Fieldston-Riverdale                                        ","2059030283","Multifamily Housing","7283","2085775","133990","None","84.9","125","HENRY HUDSON PKWY W","3611","861.6","84.9","125.1","10463"
"N/A","1-00760-7501",,"Manhattan",,,,,"288","Not on Covered Buildings List",,,"62","697.2",,,"Not Available",,"1007607501","Office","14914","1013595","127820","None","99","243.1",,,"985.2","99.1","243.3",
"No","2032200037","2094694","Bronx","263",,"7","14","2050.7","Filed","3","235297","1","1134.7","40.868322","-73.901269","Not Available","Kingsbridge Heights                                                        ","2032200037","Senior Care Community","6285"," 2094694;2094693;2817361","235297","Manual","217.2","351.4","WEST KINGSBRIDGE RD","100","3185.4","Not Available","Not Available","10468"
"No","2033270001","2096399","Bronx","421",,"7","11","2567.2","Filed","11","895256","45","67.8","40.879885","-73.880481","Not Available","Norwood                                                                    ","2033270001","Hospital (General Medical & Surgical)","6568"," 2096398;2096401 ;2807922 ;2096399 ;2096396;2102884","99526","None","482.4","522.8","EAST  210 STREET","111","2635","482.4","522.9","10467"
"Yes","2049930001","2097440","Bronx","420",,"12","11","109","Filed","1","234000","Not Available","130","40.894451","-73.860659","Not Available","Williamsbridge-Olinville                                                   ","2049930001","Parking","7088","2097440","234000","None","15.6","30.7","EAST  233 STREET","613","239","15.5","30.6","10466"
"No","3011850021","3029671","Brooklyn","213",,"9","35","320.2","Filed","1","76680","Not Available","70.3","40.671024","-73.959701","Not Available","Crown Heights South                                                        ","3011850021","Multifamily Housing","7634","3029671","76670","None","90","118","EASTERN PARKWAY","284","390.5","89.3","117.3","11225"
"No","3013220026","3035118","Brooklyn","329",,"9","40",,"Filed","1","54456","Not Available","26.3","40.66319","-73.945573","Not Available","Prospect Lefferts Gardens-Wingate                                          ","3013220026","Multifamily Housing","7716","3035118","54456","None",,,"BROOKLYN AVENUE","474",,"Not Available","Not Available","11225"
"Yes","3014030025","3037798","Brooklyn","349",,"9","41","211.6","Filed","1","57400","Not Available","55.7","40.667741","-73.92986","6.86","Crown Heights North                                                        ","3014030025","Multifamily Housing","7758","3037798","66010","ABS","70.8","96","UNION STREET","1752","267.3","70.4","95.4","11213"
"No","3-02929-0042","3070504","Brooklyn","449",,"1","34","20.4","Filed","1","80060","99","15.8","40.715558","-73.926353","0.01","East Williamsburg                                                          ","3029290042","Non-Refrigerated Warehouse","8110","3070504","80060","Manual","7.2","12.7","GRAND STREET","1247","36.2","7.1","12.5","11211"
"No","3045980001","3099485","Brooklyn","884",,"17","41","213","Filed","1","68172","Not Available",,"40.665134","-73.927235","45.42","Rugby-Remsen Village                                                       ","3045980001","Multifamily Housing","8375","3099485","68172","Manual",,,"EAST NEW YORK AVENUE","1064",,"Not Available","Not Available","11212"
"Yes","3050600018","3116112","Brooklyn","50804",,"14","40","0","Filed","1","55458","Not Available","65.6","40.651999","-73.96456","Not Available","Flatbush                                                                   ","3050600018","Multifamily Housing","8492","3116112","12789","None","63.1","198.1","CROOKE AVENUE","20","65.6","63.2","198.4","11226"
"No","3050820067","3116594","Brooklyn","50801",,"14","40","1.8","Filed","1","75043","Not Available","15.6","40.651111","-73.960138","Not Available","Flatbush                                                                   ","3050820067","Multifamily Housing","8538","3116594","75043","None","3","8.5","EAST   21 STREET","141","17.4","3","8.5","11226"
"No","3-05122-0001","3117590","Brooklyn","512",,"14","40","0","Filed","1","93552","Not Available","0","40.647016","-73.962469","Not Available","Flatbush                                                                   ","3051220001","Multifamily Housing","8603","3117590","116940","None",,,"ALBEMARLE ROAD","1800","0","Not Available","Not Available","11226"
"Yes","3051550050","3118652","Brooklyn","526",,"14","40","658.1","Filed","1","153424","Not Available","199.1","40.639036","-73.966844","Not Available","Flatbush                                                                   ","3051550050","Multifamily Housing","8629","3118652","153414","None","96.8","135","WESTMINSTER ROAD","405","857.2","97.8","136.1","11218"
"Yes","3060080001","3152094","Brooklyn","138",,"10","43","305.5","Filed","1","53000","Not Available","10.5","40.62555","-74.027213","Not Available","Bay Ridge                                                                  ","3060080001","Multifamily Housing","8951","3152094","53000","None","79","85","4 AVENUE","8215","316","79","85","11209"
"Yes","1-00016-0125","1000058","Manhattan","31703",,"1","1","41.5","Filed","1","2267925","64","17646.8","40.711537","-74.015673","12.51","Battery Park City-Lower Manhattan                                          ","1000160125","Office","20","1000058","2158767","None","103.8","247.9","LIBERTY STREET","225","17688.3","103.3","247.3","10280"
"No","3072370002","3196059","Brooklyn","37401",,"13","47","192.6","Filed","1","97440","Not Available","13.8","40.584138","-73.968833","Not Available","Gravesend                                                                  ","3072370002","Multifamily Housing","9390","3196059","48710","None","78","89.1","SHORE PARKWAY","2775","206.4","77.4","88.5","11223"
"No","3-07296-0029","3196929","Brooklyn","558",,"15","48","602.7","Filed","1","106000","Not Available","92.8","40.602238","-73.954146","Not Available","Madison                                                                    ","3072960029","Multifamily Housing","9424","3196929","106200","None","117.7","146","EAST   18 STREET","1970","695.5","117.1","145.4","11229"
"No","3076560073","3210009","Brooklyn","758",,"14","48","366.3","Filed","1","75222","Not Available","85.9","40.616505","-73.954644","Not Available","Midwood                                                                    ","3076560073","Multifamily Housing","9567","3210009","86505","None","92","122.1","OCEAN AVENUE","1865","452.2","91.2","121.3","11230"
"No","3072380002","3320730","Brooklyn","37401",,"13","47","209.4","Filed","3","169632","Not Available","13.8","40.585642","-73.968728","Not Available","Gravesend                                                                  ","3072380002","Multifamily Housing","9392","3320730","56534","None","72.8","82.7","MURDOCK COURT","9","223.2","72.2","82.1","11223"
"No","3-06471-0013","3329131","Brooklyn","294",,"11","43","1096.4","Filed","2","120618","4","725.1","40.596631","-73.997879","Not Available","Bensonhurst West                                                           ","3064710013","Senior Care Community","9065","3329131","120618","None","245.1","411.8","CROPSEY AVENUE","2230","1821.5","Not Available","Not Available","11214"
"Yes","3014177501","3393724","Brooklyn","333",,"9","35","203.5","Filed","1","193962","Not Available","299.3","40.665635","-73.938974","20.55","Crown Heights South                                                        ","3014177501","Multifamily Housing","7763","3393724","264000","ABS","28.5","59","CROWN STREET","580","502.8","28.4","58.9","11213"
"N/A","3017780089","3398151","Brooklyn","241",,"3","36","16.9","Filed","1","86826","Not Available","213.4","40.690392","-73.953476","Not Available","Bedford                                                                    ","3017780089","Multifamily Housing","7849","3398151","80000","None","36.8","107.1","KOSCIUSZKO STREET   ","41","230.3","36.2","105.3","11205"
"No","4001340029",,"Queens",,,,,"307.6","Filed","1","57936","Not Available","160",,,"Not Available",,"4001340029","Multifamily Housing","9763","4001163","61590","None","107","145.5","50 STREET","41-06","467.6","105.9","144.3","11377"
"No","4005840001",,"Queens",,,,,"252.7","Filed","1","58200","Not Available","65.2",,,"Not Available",,"4005840001","Multifamily Housing","9978","4007289","52490","None","102.4","139.1","29 STREET","34-50","317.9","102","138.7","11106"
"No","4019490106",,"Queens",,,,,"644.9","Filed","1","169500","Not Available","201.5",,,"Not Available",,"4019490106","Multifamily Housing","10403","4047930","169490","None","86.3","121.2","CALLOWAY STREET","58-03","846.4","85.9","120.5","11368"
"No","4033340260",,"Queens",,,,,"293.4","Filed","1","213654","Not Available","473.6",,,"Not Available",,"4033340260","Multifamily Housing","10794","4079634","213644","None","53.1","112.7","UNION TURNPIKE","118-17","767","52.5","111","11375"
"No","1008290016","1015680","Manhattan","58",,"5","3",,"Filed","1","106800","Not Available",,"40.744747","-73.989354","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008290016","Office","1352","1015680","142140","None",,,"WEST   27 STREET","31",,"Not Available","Not Available","10001"
"No","4050480001",,"Queens",,,,,"469.5","Filed","1","161048","Not Available","190.5",,,"Not Available",,"4050480001","Multifamily Housing","11028","4114658","161038","None","69.5","103.3","BARCLAY AVENUE","143-09","660","69.5","103.4","11355"
"Yes","4098150067",,"Queens",,,,,"467","Filed","1","82576","Not Available","25.6",,,"0",,"4098150067","Multifamily Housing","11640","4210063","82576","None","107.1","120.1","MERRICK BOULEVARD","88-24","492.6","106.2","119.2","11432"
"No","4098290048",,"Queens",,,,,,"Filed","1","66580","Not Available",,,,"Not Available",,"4098290048","Multifamily Housing","11651","4210303","71000","None",,,"173 STREET","87-70",,"Not Available","Not Available","11432"
"No","4033120008",,"Queens",,,,,"800.1","Filed","2","219248","Not Available","192.2",,,"Not Available",,"4033120008","Multifamily Housing","10766","4433884","109990","None","158.5","211.4","METROPOLITAN AVENUE","117-01","992.3","157.2","209.8","11418"
"No","4033120001",,"Queens",,,,,"677.3","Filed","2","209844","Not Available","192.2",,,"Not Available",,"4033120001","Multifamily Housing","10765","4433884","109990","None","137.5","189.3","PARK LANE SOUTH","107-01","869.5","136.4","187.9","11415"
"No","4065370028",,"Queens",,,,,"106.9","Filed","7","156736","Not Available","11.8",,,"Not Available",,"4065370028","Multifamily Housing","11201","4436489","23000","None","93.9","111.7","MELBOURNE AVENUE","149-24","118.7","93.3","111.1","11367"
"No","4-01458-0012",,"Queens",,,,,"370.3","Filed","1","123000","Not Available","27",,,"Not Available",,"4014580012","Multifamily Housing","10222","4449510","61440","None","85.7","98.1","85 STREET","35-16","397.3","85.3","97.7","11372"
"Yes","5000100019","5000091","Staten Island","7",,"1","49","425.9","Filed","1","75914","Not Available","128.9","40.645077","-74.078934","Not Available","West New Brighton-New Brighton-St. George                                  ","5000100019","Multifamily Housing","11904","5000091","75904","None","126.6","176.5","HAMILTON AVENUE","36","554.8","128.6","178.6","10301"
"No","1010437501","1025257","Manhattan","133",,"4","3","336.7","Filed","1","64020","Not Available","36.1","40.763765","-73.985694","Not Available","Clinton                                                                    ","1010437501","Multifamily Housing","2091"," 1025257 ","59701","None","82.7","99.4","WEST   52 STREET","305","372.8","82.7","99.3","10019"
"No","1-00016-0150",,"Manhattan",,,,,"0","Filed","1","2084079","67","8867.8",,,"24.75",,"1000160150","Office","22","1000060","1955520","Manual","27.8","192.4","VESEY PLACE","250","8867.8","27.6","192.5","10282"
"Yes","1-00016-7501","1000061","Manhattan","31704",,"1","1","528.6","Filed","1","220821","Not Available","392","40.709506","-74.018002","53.95","Battery Park City-Lower Manhattan                                          ","1000167501","Multifamily Housing","32","1000061","199141","ABS","74.2","128.5","RECTOR PLACE","377","920.6","74.4","128.6","10280"
"N/A","1-00016-7518",,"Manhattan",,,,,"930.8","Not on Covered Buildings List",,,"Not Available","578.5",,,"Not Available",,"1000167518","Multifamily Housing","14800","1000055","212908","None","91.4","163.5",,,"1509.3","92.2","164.3",
